,temperature_2m_mean,city,,,,,,,,,
665,26.1,Colombo,,,,,,,,,
666,25.3,Colombo,,,,,,,,,
667,25.3,Colombo,,,,,,,,,
668,25.4,Colombo,,,,,,,,,
669,25.4,Colombo,,,,,,,,,
670,25.4,Colombo,,,,,,,,,
671,25,Colombo,,,,,,,,,
672,26,Colombo,,,,,,,,,
673,26.3,Colombo,,,,,,,,,
674,25.8,Colombo,,,,,,,,,
675,25.7,Colombo,,,,,,,,,
676,26.2,Colombo,,,,,,,,,
677,26.1,Colombo,,,,,,,,,
678,25.6,Colombo,,,,,,,,,
679,26.2,Colombo,,,,,,,,,
680,26.4,Colombo,,,,,,,,,
681,26.5,Colombo,,,,,,,,,
682,26.6,Colombo,,,,,,,,,
683,26.8,Colombo,,,,,,,,,
684,26.2,Colombo,,,,,,,,,
685,26.1,Colombo,,,,,,,,,
686,26,Colombo,,,,,,,,,
687,26.6,Colombo,,,,,,,,,
688,26,Colombo,,,,,,,,,
689,25.7,Colombo,,,,,,,,,
690,26.9,Colombo,,,,,,,,,
691,26.5,Colombo,,,,,,,,,
692,25.9,Colombo,,,,,,,,,
693,25.5,Colombo,,,,,,,,,
694,24.9,Colombo,,,,,,,,,
