,rain_sum,temperature_2m_mean,city,,,,,,,,
24999,1.3,25.1,Ratnapura,,,,,,,,
25000,2.6,25,Ratnapura,,,,,,,,
25001,2.5,25,Ratnapura,,,,,,,,
25002,0.4,25.2,Ratnapura,,,,,,,,
25003,3.4,25.1,Ratnapura,,,,,,,,
25004,13.1,25.2,Ratnapura,,,,,,,,
25005,1.3,25.9,Ratnapura,,,,,,,,
25006,3.9,24.6,Ratnapura,,,,,,,,
25007,20.6,25,Ratnapura,,,,,,,,
25008,13.9,24.7,Ratnapura,,,,,,,,
25009,1.4,25,Ratnapura,,,,,,,,
25010,17,24.7,Ratnapura,,,,,,,,
25011,3.1,24.6,Ratnapura,,,,,,,,
25012,0,25,Ratnapura,,,,,,,,
25013,0,24.8,Ratnapura,,,,,,,,
25014,0,24.5,Ratnapura,,,,,,,,
25015,0,25.3,Ratnapura,,,,,,,,
25016,15.2,25.3,Ratnapura,,,,,,,,
25017,1,25.6,Ratnapura,,,,,,,,
25018,3.9,25.9,Ratnapura,,,,,,,,
25019,9.6,26.2,Ratnapura,,,,,,,,
25020,4.5,26.3,Ratnapura,,,,,,,,
25021,0,26.3,Ratnapura,,,,,,,,
25022,0,26.3,Ratnapura,,,,,,,,
25023,13.7,25.8,Ratnapura,,,,,,,,
25024,3.8,25.6,Ratnapura,,,,,,,,
25025,2.9,25.4,Ratnapura,,,,,,,,
25026,3.6,25.3,Ratnapura,,,,,,,,
25027,2.8,25.1,Ratnapura,,,,,,,,
25028,5.5,25.8,Ratnapura,,,,,,,,
25029,2.1,25.4,Ratnapura,,,,,,,,
25030,1.9,25.5,Ratnapura,,,,,,,,
25031,4.7,25.2,Ratnapura,,,,,,,,
25032,6.7,25.2,Ratnapura,,,,,,,,
25033,4.7,25.4,Ratnapura,,,,,,,,
25034,0.7,25.3,Ratnapura,,,,,,,,
25035,3.2,25.5,Ratnapura,,,,,,,,
25036,2.9,25.4,Ratnapura,,,,,,,,
25037,1.8,25.1,Ratnapura,,,,,,,,
25038,3.3,25,Ratnapura,,,,,,,,
25039,3.1,25.4,Ratnapura,,,,,,,,
