,rain_sum,temperature_2m_mean,city,,,,,,,,,,
54374,0.9,26.7,Galle,,,,,,,,,,
54375,2.1,27,Galle,,,,,,,,,,
54376,28.7,25.4,Galle,,,,,,,,,,
54377,12.5,25.8,Galle,,,,,,,,,,
54378,9.5,27,Galle,,,,,,,,,,
54379,15.6,26.3,Galle,,,,,,,,,,
54380,5.4,26.4,Galle,,,,,,,,,,
54381,0.6,26.9,Galle,,,,,,,,,,
54382,0.2,27.6,Galle,,,,,,,,,,
54383,6.5,26.1,Galle,,,,,,,,,,
54384,15.1,25.7,Galle,,,,,,,,,,
54385,4.3,26.4,Galle,,,,,,,,,,
54386,6.5,26.8,Galle,,,,,,,,,,
54387,0,27.7,Galle,,,,,,,,,,
54388,4.6,26.6,Galle,,,,,,,,,,
54389,41.8,25.9,Galle,,,,,,,,,,
54390,26.7,25.5,Galle,,,,,,,,,,
54391,0,27.3,Galle,,,,,,,,,,
54392,7.3,26.8,Galle,,,,,,,,,,
54393,4.1,26.4,Galle,,,,,,,,,,
54394,2.9,26.3,Galle,,,,,,,,,,
54395,4.4,26.2,Galle,,,,,,,,,,
54396,8.3,25.7,Galle,,,,,,,,,,
54397,6.4,26.5,Galle,,,,,,,,,,
54398,23.4,26.5,Galle,,,,,,,,,,
54399,27,25.9,Galle,,,,,,,,,,
54400,14.1,25.4,Galle,,,,,,,,,,
54401,52.7,25.6,Galle,,,,,,,,,,
54402,15.8,25.5,Galle,,,,,,,,,,
54403,11.3,26.2,Galle,,,,,,,,,,
54404,14.8,25.8,Galle,,,,,,,,,,
54405,11.5,25.7,Galle,,,,,,,,,,
54406,3.9,26.5,Galle,,,,,,,,,,
54407,16,26,Galle,,,,,,,,,,
54408,4.2,26.6,Galle,,,,,,,,,,
54409,50.3,25.6,Galle,,,,,,,,,,
54410,20.3,25.7,Galle,,,,,,,,,,
54411,37.3,25.3,Galle,,,,,,,,,,
54412,20.6,25.4,Galle,,,,,,,,,,
54413,9.3,25.4,Galle,,,,,,,,,,
54414,2.4,25.7,Galle,,,,,,,,,,
54415,8.9,25.4,Galle,,,,,,,,,,
54416,18,25.1,Galle,,,,,,,,,,
54417,16.6,25.8,Galle,,,,,,,,,,
54418,30.2,24.5,Galle,,,,,,,,,,
54419,4.3,26,Galle,,,,,,,,,,
54420,1.4,26.6,Galle,,,,,,,,,,
54421,1.2,27,Galle,,,,,,,,,,
54422,0,26.5,Galle,,,,,,,,,,
54423,0,26.5,Galle,,,,,,,,,,
54424,0.9,26.6,Galle,,,,,,,,,,
54425,1.9,26.2,Galle,,,,,,,,,,
54426,0.5,26.2,Galle,,,,,,,,,,
54427,5.7,26.4,Galle,,,,,,,,,,
54428,1.4,26.4,Galle,,,,,,,,,,
54429,6,26.3,Galle,,,,,,,,,,
54430,8.8,25.8,Galle,,,,,,,,,,
54431,14.7,25.4,Galle,,,,,,,,,,
54432,51.5,24.9,Galle,,,,,,,,,,
54433,18.2,24.1,Galle,,,,,,,,,,
54434,13.3,25.6,Galle,,,,,,,,,,
54435,14.4,25.8,Galle,,,,,,,,,,
